Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Chen J.K.C., Pham V.K., Yuan B.J.C.","24821815200;55972057500;7203056407;","Adopting AHP approach on evaluation and selection of outsourcing destination in East and Southeast Asia",2013,"2013 Proceedings of PICMET 2013: Technology Management in the IT-Driven Services",,, 6641715,"528","537",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890840571&partnerID=40&md5=b897db5312a9b9e3fa3bf7d742b201f6","Department of Business Administration, Asia University, Taichung, Taiwan; Institute of Management of Technology, National Chiao Tung University, Taiwan","Chen, J.K.C., Department of Business Administration, Asia University, Taichung, Taiwan; Pham, V.K., Department of Business Administration, Asia University, Taichung, Taiwan; Yuan, B.J.C., Institute of Management of Technology, National Chiao Tung University, Taiwan","Outsourcing is regarded as one of the most popular strategies whereby firms can focus on core competencies when outsourcing to the rest of their overseas partners. Before companies step beyond their country boundaries, it is vital to evaluate and select the best destination for an outsourcing service. Unfortunately, only a few studies have been done to help firms make decisions in relation to evaluating a potential outsourcing partner. The purpose of this paper is to solve this problem by constructing a hierarchy model via the Analytic Hierarchy Process (AHP) approach. In the study, seven typical outsourcing countries in the East and South East Asia (China, Indonesia, Malaysia, The Philippines, Singapore, Thailand, and Vietnam) were chosen as possible alternatives for outsourcing companies based on four main evaluating criteria. These are: (1) cost competiveness; (2) human resources; (3) business and economic environments; (4) government policies and legal framework. Each criterion includes key sub-criteria as shown in the hierarchy model. The results showed that cost competiveness is the most important factor in the second level of the hierarchy and it results in the dominance of employee salary, taxes, freight price, and real estate costs respectively in the third level. For these reasons, China and Indonesia are the best outsourcing destinations. Besides, Vietnam and Thailand are emerging to be attractive countries due to their low labor costs and new government policies. Finally, the research meets the need of rational selection of the outsourcing countries and provides a great practical significance to practitioners. © 2013 PICMET.",,"Analytic hierarchy process (ahp); Core competencies; Economic environment; Evaluating criteria; Legal frameworks; Outsourcing companies; Outsourcing partner; Outsourcing services; Analytic hierarchy process; Costs; Hierarchical systems; Industry; Public policy; Wages; Outsourcing",Conference Paper,"Final","",Scopus,2-s2.0-84890840571
"Samah M.A.A., Manaf L.A., Ahsan A., Sulaiman W.N.A., Agamuthu P., D'Silva J.L.","35196967300;26647751500;36008141300;8862924100;6602097386;35777655200;","Household solid waste composition in Balakong City, Malaysia: Trend and management",2013,"Polish Journal of Environmental Studies","22","6",,"1807","1816",,14,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890390317&partnerID=40&md5=be22a12c3d133463016fd7484210c713","Putra University Malaysia, Malaysia; Institute for Social Science Studies, Putra University Malaysia, Malaysia; Institute Biological Science, University of Malaya, Malaysia","Samah, M.A.A., Putra University Malaysia, Malaysia; Manaf, L.A., Putra University Malaysia, Malaysia; Ahsan, A., Putra University Malaysia, Malaysia; Sulaiman, W.N.A., Putra University Malaysia, Malaysia; Agamuthu, P., Institute Biological Science, University of Malaya, Malaysia; D'Silva, J.L., Institute for Social Science Studies, Putra University Malaysia, Malaysia","Waste is an obvious by-product that comes from human activities. Urbanization, economic development, and improving living standards in cities all have an impact on the increase of the quantity and difficulty of generated waste. Fast population growth and industrialization degrades the urban environment and places serious stress on natural resources. Inefficient management and disposal of solid waste is a noticeable cause of degradation of the environment in most cities of the developing world. MSW generation depends on township size and level of economic standards. Thus, it was proven by the MSW generated in the selected area of Kluang (a small town in the southern part of Peninsular Malaysia) amounted to as little as 45 tons and as much as 3,000 tons in Kuala Lumpur (Malaysia's capital). More analysis reported that the largest sources of MSW generation come from household waste, followed by industrial and commercial wastes. In Selangor State, the highest percentage of MSW consisted of putrescible waste of approximately 46%, followed by plastic and paper at 15% and 14%, respectively. This paper focuses on the trend and management of household solid waste composition generated in Balakong City, Malaysia. A survey for household residents in eight housing areas was carried out for one month and data were collected on a daily basis. The composition of solid waste collected was segregated into different components (organic waste, plastic, paper, glass, metal, and other). For overall household solid waste composition generated in the Balakong area, organic waste recorded the highest percentage at 555.5%. Then, followed by plastic waste 82.2%, paper 74.4%, other waste 42.9%, glass 25.8%, the lowest waste generated was metal at 18.9%. There is a relation between the economic position of a country and per capita waste generation rate. While the standard of living rises, waste generation rates also are increasing. The world trend of solid waste generation nowadays (including Malaysia) is mostly dependent on the changing consumption pattern, and also related to climate and seasonal differences. Thus, the management and planning of solid waste generated must be enhanced to improve sustainable solid waste management in Malaysia. Besides, public awareness, funding, expertise, equipment, and facilities that are currently lacking must be provided.","Municipal solid waste; Waste composition; Waste generation",,Article,"Final","",Scopus,2-s2.0-84890390317
"Aina Musa N., Mustapha A., Mandeep J.S., Zainal N.","55960556100;36470835900;13105366200;36092002600;","Migration for fixed satellite station in C-band from Measat 1 to Measat 3",2013,"World Applied Sciences Journal","24","2",,"207","212",,,"10.5829/idosi.wasj.2013.24.02.1024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890106134&doi=10.5829%2fidosi.wasj.2013.24.02.1024&partnerID=40&md5=3d6b450f13b986e73f063607a7c785ae","Department of Electrical, Electronic and Systems Engineering, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor, Malaysia","Aina Musa, N., Department of Electrical, Electronic and Systems Engineering, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor, Malaysia; Mustapha, A., Department of Electrical, Electronic and Systems Engineering, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor, Malaysia; Mandeep, J.S., Department of Electrical, Electronic and Systems Engineering, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor, Malaysia; Zainal, N., Department of Electrical, Electronic and Systems Engineering, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor, Malaysia","Migration of frequencies has become a necessity to accommodate higher number of user and applications for future technology advancement. In Malaysia, the migration of C-band to accommodate fixed satellite services (FSS) has been made by the Malaysian Communication and Multimedia Commissions (MCMC) by the migration from MEASAT 1 to MEASAT 3. The frequencies range assignment has changed from between 3700 MHz to 4200 MHz and 5925 MHz to 6425MHz; to the frequency range of between 3400MHz to 3700MHz and 6425MHz and 6725MHz; an expansion of 300MHz. At the same time, the number of transponder has also increased from 12 transponders to 24 transponders. With changes in frequency range and number of transponders, the Received Coverage Area (RCA) is also changed. This is because RCA is directly influence by changes in the minimum elevation angle caused by change in the satellite altitude. The deployment of new satellite also introduces an economic impact in relation of the environment at which the satellite is deployed because the interference on the signal will greatly influence the offered service. Satellite altitude for MEASAT 1 is lower than MEASAT 3; giving higher interference in MEASAT 3. At the same time, the minimum elevation angle of MEASAT 3 is higher than MEASAT 1 therefore resulting in lower coverage area. However, higher frequency means a lighter weight and smaller satellite with lower power that reduce the cost of MEASAT 3. In long run, MEASAT 3 is seen as an essential migration because of its flexibility in design, able to operate in both C-band and Ku-band, overcome the congestion in the current C-band and most importantly, MEASAT 3 will allow a wider coverage inside and outside of Malaysia's territory which could have a huge economic impact for Malaysia. © IDOSI Publications, 2013.","Elevation angle; Migration; Received coverage area; Satellite altitude",,Article,"Final","",Scopus,2-s2.0-84890106134
"Lopez-Iturriaga F.J., Rodriguez-Sanz J.A.","8410264500;24336323700;","Growth opportunities as moderators of the mechanisms of corporate control: A study of East Asian firms",2013,"Transformations in Business and Economics","12","3",,"168","187",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890084167&partnerID=40&md5=fdaf6877722cde133fc673803c748f0e","School of Business and Economics, University of Valladolid, Avda. Valle del Esgueva 6, 47011 Valladolid, Spain","Lopez-Iturriaga, F.J., School of Business and Economics, University of Valladolid, Avda. Valle del Esgueva 6, 47011 Valladolid, Spain; Rodriguez-Sanz, J.A., School of Business and Economics, University of Valladolid, Avda. Valle del Esgueva 6, 47011 Valladolid, Spain","We study whether the corporate growth opportunities result in an asymmetric effect of the corporate financial leverage and the corporate dividend policies on the value of the firms from eleven East Asian countries: Hong Kong, Indonesia, India, Japan, South Korea, Sri Lanka, Malaysia, Philippines, Singapore, Thailand, and Taiwan. Our results corroborate the dual role of the corporate debt and the dividends. When firms lack growth opportunities, they alleviate the problem of overinvestment. But, when firms have growth opportunities, they exacerbate the problem of underinvestment Our results also suggest that legal and institutional environment can module this effect. Better legal protection of investors reduces the disciplinary role of financial decisions. Considering the importance of capital markets, we find that debt and dividends are less influential in countries with more active capital markets. Finally, there are some firm-specific features, such as the nature of controlling shareholders (e.g., the ownership concentration and the identity of these shareholders), which modify the relevance of debt and dividends in Asian firms.","Capital structure; Dividends; East Asia; Growth opportunities; Law & Finance approach; Ownership structure",,Conference Paper,"Final","",Scopus,2-s2.0-84890084167
"Hossain M.S., Rahman M.F., Thompson S., Nabi M.R., Kibria M.M.","55838510631;57211277694;7403233201;55953954600;57205958197;","Climate change resilience assessment using livelihood assets of coastal fishing community in Nijhum Dwip, Bangladesh",2013,"Pertanika Journal of Science and Technology","21","2",,"397","422",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889565896&partnerID=40&md5=65cb5073327d38a658ff36b57bb63c91","Institute of Marine Sciences and Fisheries, University of Chittagong, Chittagong-4331, Bangladesh; Natural Resources Institute, University of Manitoba, Winnipeg, MB, R3T 2N2, Canada; Department of Zoology, University of Chittagong, Chittagong 4331, Bangladesh","Hossain, M.S., Institute of Marine Sciences and Fisheries, University of Chittagong, Chittagong-4331, Bangladesh; Rahman, M.F., Institute of Marine Sciences and Fisheries, University of Chittagong, Chittagong-4331, Bangladesh; Thompson, S., Natural Resources Institute, University of Manitoba, Winnipeg, MB, R3T 2N2, Canada; Nabi, M.R., Institute of Marine Sciences and Fisheries, University of Chittagong, Chittagong-4331, Bangladesh; Kibria, M.M., Department of Zoology, University of Chittagong, Chittagong 4331, Bangladesh","The fishermen of Nijhum Dwip in Noakhali, Bangladesh have lived in an extremely dynamic environment facing tropical cyclones, tidal surges, embankment erosion and salinity intrusion that affect life and livelihood options. This study was conducted to identify human, physical, financial, natural and social assets for analysing fishing community resilience. Landsat TM imagery and asset database of 25 thematic layers were analysed with ENVI and GIS capabilities to identify and prioritise the resilience of coastal fishing community. The resilience assessment focussed on 25 basic criteria, and the weights were determined by a pairwise comparison matrix of Analytical Hierarchy Process according to the effectiveness of the criteria. The study identified natural assets with 48% importance as the most significant in fishermen resilience. The vector of effectiveness indicated that human, financial and social assets showing importance of 18%, 15% and 13% respectively are moderately significant, where the physical asset with only 5% importance is the least significant in fishermen resilience. The results suggest that natural assets with experienced human resource and financial support as well as excellent social relationship are the appropriate option for enhancing coastal fishing community resilience to withstand climate change disaster events. © 2013 Universiti Putra Malaysia Press.","AHP; Climate change; Fishermen resilience; Livelihood assets; Nijhum Dwip",,Article,"Final","",Scopus,2-s2.0-84889565896
"Nather Khan I., Firuza B.M., Abdul Aziz A.S.","6507163763;39861249200;57202652949;","Ecology and conservation values of Sedili Kecil wetland, Malaysia",2013,"Ecology, Environment and Conservation","19","3",,"643","651",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889244177&partnerID=40&md5=8f797604b6f4fc31bd640fe0e076b79d","Ecotone Environmental Management Sdn. Bhd., Suite 912, Block A, Kelana Centre Point, Kelana Jaya, 47301 Petaling Jaya, Selangor, Malaysia; Department of Geography, Faculty of Arts and Social Sciences, University of Malaya, 50603 Kuala Lumpur, Malaysia; Institute of Biological Sciences, Faculty of Science, University of Malaya, 50603 Kuala Lumpur, Malaysia","Nather Khan, I., Ecotone Environmental Management Sdn. Bhd., Suite 912, Block A, Kelana Centre Point, Kelana Jaya, 47301 Petaling Jaya, Selangor, Malaysia; Firuza, B.M., Department of Geography, Faculty of Arts and Social Sciences, University of Malaya, 50603 Kuala Lumpur, Malaysia; Abdul Aziz, A.S., Institute of Biological Sciences, Faculty of Science, University of Malaya, 50603 Kuala Lumpur, Malaysia","The Sedili Kecil is one of the very few river watersheds in Peninsular Malaysia that remains entirely forested from its source to estuary. Nevertheless pressure from large scale development around the area threatens the existence of this pristine tropical wetland forest. Although, sparsely populated, the rivers and streams were used for many purposes including as source of livelihood for most of local villagers in the watershed. A study was carried out to assess the wetland values and functions, including its soil chemistry, stream water quality and socio-economic values of wetland species including the conservations values of Sedili Kecil watershed. The top soils showed some variations in physical and chemical characters which largely influenced by the respective forest types while the values of water quality parameters in the river increased from upstream to downstream and it was more obvious at the main Bahan river in comparison with other tributaries. This might also due to large scale brackish water aquaculture in the estuary. The flora found in mangrove freshwater swamp and transitional forest types contribute to the economy of the local villager. Being almost entirely forested, the Sedili Kecil watershed provides an excellent opportunity to conserve a relatively intact lowland tropical wetland forest ecosystem of its kinds in Peninsular Malaysia. Copyright © EM International.","Conservation; Sedili Kecil; Soil chemistry; Tropical rivers; Water quality; Watershed; Wetland","brackish water; estuarine environment; forest ecosystem; physicochemical property; pristine environment; socioeconomic status; soil chemistry; water quality; watershed; wetland; Malaysia; West Malaysia",Article,"Final","",Scopus,2-s2.0-84889244177
"Mohd-Arrabe A.B., Noraini T.","56016027200;24767031600;","Pollen morphology of Rhizophora L. in Peninsular Malaysia",2013,"AIP Conference Proceedings","1571",,,"377","381",,3,"10.1063/1.4858687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897819328&doi=10.1063%2f1.4858687&partnerID=40&md5=4039293feb167796c51f897f1523bd5b","School of Environmental and Natural Resource Sciences, Faculty Science and Technology, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor, Malaysia","Mohd-Arrabe, A.B., School of Environmental and Natural Resource Sciences, Faculty Science and Technology, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor, Malaysia; Noraini, T., School of Environmental and Natural Resource Sciences, Faculty Science and Technology, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor, Malaysia","Rhizophora L. are common mangrove genus in Peninsular Malaysia, it contains 3 species and 1 hybrid (R. apiculata Blume, R. mucronata Lam., R. stylosa Griff., R. x lamarckii Montrouz). This genus has some unique adaptation towards extreme environment. Rhizophora has looping aerial stilt-root and uniformly viviparous. The aim of this study is to investigate the variation in the pollen morphology of Rhizophora that can be related to their habitat. Methods include in this study is pollen observation under light and acetolysis method under scanning electron microscope. Pollen type of Rhizophora species studied except hybrid species is classified tricolporate, shape spheroidal based on ratio of length polar axis/ length of equatorial axis (1.03-1.09). The exine ornamentation is perforate-reticulate for R. apiculata and R. mucronata, while R. stylosa is perforate. For the only hybrid in Peninsular Malaysia, R. x lamarckii (R. apiculata x R. stylosa) differs from others, tricolpate with the absence of porate, shape is subprolate and exine ornamentation is reticulate and striate in equatorial region. Pollenkitt is present due to the salty and extreme environment. This may enhance the volume of pollenkitt present surrounding the pollen grains in Rhizophora for protection and adaptation purposes. Based on these findings, it is evident that pollen morphology is somehow related to its natural habitat. © 2014 AIP Publishing LLC.","Palynology; Pollen morphology; Rhizophora",,Conference Paper,"Final","",Scopus,2-s2.0-84897819328
"Ling S.T.Y.","55523523400;","The Reid Constitutional Commission: The 'Lost' environmental proposals for Malaysia",2013,"Asia Pacific Journal of Environmental Law","16","1",,"195","214",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892993825&partnerID=40&md5=67115b89e83e58714bf74f16e03d8464","Faculty of Law, University of Malaya, Malaysia","Ling, S.T.Y., Faculty of Law, University of Malaya, Malaysia","Within the written words of the Malaysian Federal Constitution, 'environment' is missing. No express term provides or protects the right to a clean environment, except for a limited questionable right judicially interpreted under art 5(1)'s right to life. It has often been said that the framers of the Constitution, the Reid Constitutional Commission, omitted to provide for the environment given the Constitution's silence on this matter, and that this omission is fatal. However, it is suggested - contrarily - that there may be historic evidence to demonstrate not only that the Reid Constitutional Commission made proposals for environmental protection, but also that it envisaged a strong federal governmental role in the preservation and conservation of the environment; a role which, if recognised and adopted today, could result in greater protection for the environment and a more certain legal environmental framework for Malaysia. © Australian Centre for Climate and Environmental Law 2013.",,"agricultural land; environmental management; environmental planning; environmental protection; government; human; Malaysia; priority journal; review; right to life",Review,"Final","",Scopus,2-s2.0-84892993825
"Intan-Soraya R., Chew K.-W.","49863612900;36920885600;","Human resource management for innovative capability development in Malaysia's new economic model",2013,"Intellectual Capital Strategy Management for Knowledge-Based Organizations",,,,"142","155",,1,"10.4018/978-1-4666-3655-2.ch008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898353072&doi=10.4018%2f978-1-4666-3655-2.ch008&partnerID=40&md5=cd0b7c402f6f2bc040486570705d830e","Multimedia University, Cyberjaya, Malaysia; Human Resource Management Framework for Innovative Capability Development, Multimedia University, Cyberjaya, Malaysia","Intan-Soraya, R., Multimedia University, Cyberjaya, Malaysia; Chew, K.-W., Human Resource Management Framework for Innovative Capability Development, Multimedia University, Cyberjaya, Malaysia","This chapter spotlights Malaysia's New Economic Model (NEM), which aims to create a sustainable and robust economy through increased productivity and innovation. An innovation-driven business environment is to transform the Malaysian economy into one of high income and quality growth. Innovation is fueled by knowledge in organizations, and knowledge resides within individual employees. Thus, firms need to bring about knowledge exchange among employees to build on its innovative capability. Specific strategies can be utilized to encourage employees to acquire, share, and apply knowledge to create organizational value. The field of Human Resource Management (HRM) therefore becomes relevant in understanding organizational innovation in Malaysia. However, a comprehensive framework bridging HRM and organizational innovation has yet to be developed. This chapter fills in the gap by proposing a human resource management framework for innovative capability development in organizations for Malaysia's New Economic Model. © 2013, IGI Global.",,,Book Chapter,"Final","",Scopus,2-s2.0-84898353072
"Bt Fauzi N.F.B., Ahmad F., Gelaidan H.M.","55920157200;55569914700;55646429700;","The employee retention status in paddy and rice industry in Malaysia",2013,"Middle East Journal of Scientific Research","18","5",,"642","650",,3,"10.5829/idosi.mejsr.2013.18.5.11732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891815430&doi=10.5829%2fidosi.mejsr.2013.18.5.11732&partnerID=40&md5=dc45bd6309b3399d251fa36cdff4d61d","School of Business Management, College of Business, University Utara Malaysia, Sintok 06010, Kedah, Malaysia","Bt Fauzi, N.F.B., School of Business Management, College of Business, University Utara Malaysia, Sintok 06010, Kedah, Malaysia; Ahmad, F., School of Business Management, College of Business, University Utara Malaysia, Sintok 06010, Kedah, Malaysia; Gelaidan, H.M., School of Business Management, College of Business, University Utara Malaysia, Sintok 06010, Kedah, Malaysia","Nowadays, changes in technology, global economic, trade agreements and the like are straight forwardly affecting employee/employer relationship. The aim of this study is to examine the relationship between the several factors that associated with employee retention in Malaysian industry context. In this study, work environment,compensation, training/development and supervisor support, were examined with employee retention. The finding showed that only work environment and training/ development were found significantly related to employee retention. Whereas, the compensationand supervisor support were showedthat not significantly related to employee retention. The implication, limitation and recommendationwas given. © IDOSI Publications, 2013.","Compensation; Malaysia; Supervisorsupport; Training/development; Workenvironment",,Article,"Final","",Scopus,2-s2.0-84891815430
